text,label,Pattern Category
About Bob's,Not Dark,Not Dark Pattern
22 people have looked at this part recently,Dark,Social Proof
Limited Time!,Dark,Urgency
4 sold in last 5 hours,Dark,Social Proof
Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,Dark,Social Proof
Your order is reserved for 08:53 minutes!,Dark,Urgency
 Rudraksha Recommendations ,Not Dark,Not Dark Pattern
OFFER ENDS: 09h: 09m: 55s: 0 ,Dark,Urgency
 Added to Favorites ,Not Dark,Not Dark Pattern
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",Dark,Social Proof
Brown Dresses,Not Dark,Not Dark Pattern
Someone in city just added Radiance - Nebulizing DiffuserÂ® to their cart,Dark,Social Proof
"They look really good with my brown eyes, and they look pretty natural.",Not Dark,Not Dark Pattern
 Data Processor Privacy Policy: https://www.appnexus.com/corporate-privacy-policy ,Not Dark,Not Dark Pattern
Hurry! Only 1 Pair left!,Dark,Scarcity
Plus Size Graphic Tops,Not Dark,Not Dark Pattern
Protection Filters,Not Dark,Not Dark Pattern
Flash Sale - Almost Over! 00 HOURS : 55 1001 MINUTES : 0550 8778 SECONDS,Dark,Urgency
Interactive Tent Finder,Not Dark,Not Dark Pattern
Cart will expire in 04:53 minutes!,Dark,Urgency
âœ•,Not Dark,Not Dark Pattern
"Hurry, Only 4 Left In Stock. Buy Now!",Dark,Scarcity
take me back to shopping,Not Dark,Not Dark Pattern
Only 7 left,Dark,Scarcity
89% offers claimed. Hurry up!,Dark,Scarcity
"No thanks, I hate cool stuff",Dark,Misdirection
Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,Dark,Social Proof
20 units left,Dark,Scarcity
High demand,Dark,Scarcity
3642 BOUGHT,Dark,Social Proof
5 in stock,Dark,Scarcity
"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",Dark,Social Proof
Solar Powered Paw Print Ground Light,Not Dark,Not Dark Pattern
Only 1 left,Dark,Scarcity
Candy Melts,Not Dark,Not Dark Pattern
Romantic Ball Gown Tulle Spaghetti Sleeveless Tier Flower Dirl Dress,Not Dark,Not Dark Pattern
"Abbie in Calwell, Australia purchased Shark Bite Socks about 1 hour ago",Dark,Social Proof
Last purchase was 18 minutes ago by someone from Dublin,Dark,Social Proof
7 users have looked at this product in the past 6 minutes,Dark,Social Proof
Crystal Shivlingas ,Not Dark,Not Dark Pattern
Facebook icon,Not Dark,Not Dark Pattern
 Midleton Very Rare ,Not Dark,Not Dark Pattern
Pillow & Foam Bed Wedges,Not Dark,Not Dark Pattern
"Happiness is to hold flowers in both hands. Furthermore, flowers make for an integral part of all occasions and celebrations........ Read More...",Not Dark,Not Dark Pattern
 Contact Support ,Not Dark,Not Dark Pattern
Only 7 in Stock!,Dark,Scarcity
Use the left and right arrow keys to navigate the Menu. Use the enter key to activate the submenu on a navigation item. Use escape key to close the submenu. ,Not Dark,Not Dark Pattern
Score! You've Qualified for a Checkout Bonus,Dark,Misdirection
"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",Dark,Social Proof
"No thanks, I don't like FREE stuff.",Dark,Misdirection
"No thanks, I just want the item",Dark,Misdirection
ONLY 1 LEFT IN STOCK,Dark,Scarcity
Trending now! Added to basket 38 times today,Dark,Social Proof
 Love the way you pay ,Not Dark,Not Dark Pattern
Homeware Trends,Not Dark,Not Dark Pattern
Victoria Victoria Beckham,Not Dark,Not Dark Pattern
"In stock, only 1 products left",Dark,Scarcity
LAST 1 LEFT,Dark,Scarcity
 Rain Boots ,Not Dark,Not Dark Pattern
only 2 left in stock,Dark,Scarcity
"No thanks, I don't like deals.",Dark,Misdirection
Exterior Accessories,Not Dark,Not Dark Pattern
"Size low on stock, only 1 item left",Dark,Scarcity
Strength & Functional Training,Not Dark,Not Dark Pattern
8 people have this in their bag right now.,Dark,Social Proof
Motion Control System,Not Dark,Not Dark Pattern
11 people viewed this today!,Dark,Social Proof
View All Home Accents,Not Dark,Not Dark Pattern
SUBSCRIPTION SUCCESSFUL. THANK YOU!,Not Dark,Not Dark Pattern
 Lawn Mowers ,Not Dark,Not Dark Pattern
Sale Clothing,Not Dark,Not Dark Pattern
 Fashion Floral Short Sleeve Dress ,Not Dark,Not Dark Pattern
How about one of these hot sellers?,Dark,Misdirection
Only 3 left,Dark,Scarcity
"Now 20% off, hurry limited time offer!",Dark,Urgency
Boys Red School Uniforms,Not Dark,Not Dark Pattern
"No thanks, I don't want a free gift.",Dark,Misdirection
"Hurry! Sale Ends In:

02:59:50",Dark,Urgency
 info@chainedandable.com ,Not Dark,Not Dark Pattern
"NO, I'D RATHER PAY FULL PRICE",Dark,Misdirection
activate within 10:00,Dark,Urgency
There is only one product left!,Dark,Scarcity
00DAYS00HOURS47MINUTES36SECONDS SALE ENDS ONCE COUNTER HITS ZERO,Dark,Urgency
SAA Standard Membership - Credit/Debit Card - Automatic Annual Fee,Not Dark,Not Dark Pattern
 Laundry & Cleaning ,Not Dark,Not Dark Pattern
"Only 3 left, order soon",Dark,Scarcity
 Entertainment Centers & TV Stands ,Not Dark,Not Dark Pattern
"No, I don't feel lucky",Dark,Misdirection
STAY IN THE LOOP!,Not Dark,Not Dark Pattern
1 left in stock. Hurry!,Dark,Scarcity
Blue Raspberry,Not Dark,Not Dark Pattern
Your cart is reserved for 09:35 minutes.,Dark,Urgency
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,Dark,Urgency
ONLY A FEW LEFT!,Dark,Scarcity
"No thanks, I like full price",Dark,Misdirection
HIGH DEMAND,Dark,Scarcity
JFN Crew Neck Floral Vacation T-Shirt/Tee,Not Dark,Not Dark Pattern
ONLY A FEW LEFT,Dark,Scarcity
 Indoor Festive Lights ,Not Dark,Not Dark Pattern
"EastwoodModern, sleek and enchanting, the Eastwood Collection provides comfortable seating while still looking mid-century magnificent.",Not Dark,Not Dark Pattern
 Synthesis Alloy Collection ,Not Dark,Not Dark Pattern
MOST POPULAR,Dark,Social Proof
"We'd like to send you weekly emails packed full of our lovely products, clearance goodies and cool stuff to win. You can unsubscribe at any time. If you DON'T want to receive these emails, please tick this box. We'd like to send you the occasional brochure so you can get a regular fix of our lovely product! You can unsubscribe at any time. If you DON'T want to receive these brochures, please tick this box. We'd like to introduce you to other brands you might love who will post you the occasional brochure. You can opt out of this at any time. If you DON'T want to receive these brochures, please tick this box.",Dark,Misdirection
Occasion: Anniversary,Not Dark,Not Dark Pattern
8 people have viewed this product today!,Dark,Social Proof
30 people have purchased this item,Dark,Social Proof
Musical Toys,Not Dark,Not Dark Pattern
"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",Dark,Social Proof
"Skin Concerns: Treats mild to moderate acne (including whiteheads, blackheads, pimples, and hormonal acne) and excess oiliness.",Not Dark,Not Dark Pattern
Limited Time Offer!,Dark,Urgency
Events and Entertainment,Not Dark,Not Dark Pattern
About UsNews & Articles,Not Dark,Not Dark Pattern
Almost gone! Only 3 left In Stock,Dark,Scarcity
 Low Maintenance Plants ,Not Dark,Not Dark Pattern
 Men's Apparel Collection ,Not Dark,Not Dark Pattern
 View All Parts ,Not Dark,Not Dark Pattern
"We are one of the best online printing technology & solution company successfully serving local and international customers to cherish the joy, love and precious moments in life with various products. Being an instrument to spread your joy and love in a beautiful way we take pride in providing the best quality services. ",Not Dark,Not Dark Pattern
3 people are looking at this product,Dark,Social Proof
38 people are viewing this,Dark,Social Proof
"no thanks, I don't like to save",Dark,Misdirection
00 HRS 57 MINS 56 SECS,Dark,Urgency
Shop all interactive whiteboards,Not Dark,Not Dark Pattern
Sign up to stay up to date on all White Cloud news and savings!,Not Dark,Not Dark Pattern
"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",Dark,Social Proof
Hurry! Only 6 left in stock!,Dark,Scarcity
Only 1 Left in this Size!,Dark,Scarcity
These pieces are not yet in stock but will be shipped as soon as they are available. The estimated ship date will be noted on the product page.,Not Dark,Not Dark Pattern
"Our website implements the ARIA attributes (Accessible Rich Internet Applications) technique, alongside various behavioral changes, to ensure blind users visiting with screen-readers can read, comprehend, and enjoy the websiteâ€™s functions. As soon as a user with a screen-reader enters your site, they immediately receive a prompt to enter the Screen-Reader Profile so they can browse and operate your site effectively. Hereâ€™s how our website covers some of the most important screen-reader requirements:",Not Dark,Not Dark Pattern
Only 7 left!,Dark,Scarcity
 Yearly ,Not Dark,Not Dark Pattern
" to resolve the issue, or ",Not Dark,Not Dark Pattern
Shop by Activity,Not Dark,Not Dark Pattern
 Home Â» ,Not Dark,Not Dark Pattern
Lace Front African American Wigs,Not Dark,Not Dark Pattern
SRX Remotes,Not Dark,Not Dark Pattern
 PAVILION LONG SLEEVE SHIRT DRESS Cornflower Stripe ,Not Dark,Not Dark Pattern
"Son in Suisun City, United States purchased Commander Lex",Dark,Social Proof
All Brands A-Z ,Not Dark,Not Dark Pattern
Icon MTB Socks - Black/Green,Not Dark,Not Dark Pattern
Focus remotes,Not Dark,Not Dark Pattern
3DAYS124606,Dark,Urgency
"To cancel your order before it ships, call us.",Dark,Obstruction
Signup for email updates from Car and Truck Remotes!,Not Dark,Not Dark Pattern
"Easy, awesome! ready to go. Held a charge first night",Not Dark,Not Dark Pattern
More than 752 users are adding shapewear to their cart. Is your size left?,Dark,Social Proof
Newborn & InfantYouthAdjustableFlexSnapbacksSale Items- View All -,Not Dark,Not Dark Pattern
Flat Top,Not Dark,Not Dark Pattern
CPUs & Processors,Not Dark,Not Dark Pattern
Brand Directory ,Not Dark,Not Dark Pattern
"No, I don't feel lucky.",Dark,Misdirection
Only 2 left in stock. Make it yours.,Dark,Scarcity
"For more information about the VIP Rewards Club Membership, to purchase or terminate a membership, or to start or stop automatic renewal of a membership, contact Ross-Simons Customer Service by postal mail at: Ross-Simons, 9 Ross-Simons Drive, Cranston, Rhode Island 02920; or by email at customerservice@ross-simons.com; or by calling the VIP Rewards Club priority line at 800-835-3799.",Dark,Obstruction
 ï˜’ ,Not Dark,Not Dark Pattern
"Sayeeganesh in Chennai, India just bought Dhoni the Finisher T-Shirt an hour ago",Dark,Social Proof
Only 1 left in stock.,Dark,Scarcity
 Candy & Snacks ,Not Dark,Not Dark Pattern
"Only 1 left , In Stock",Dark,Scarcity
65% of our customers added Surefit protection this year.,Dark,Social Proof
50% OFF for Limited Time Only!!!,Dark,Urgency
 Active Filters English English âœ˜ Remove Filter ,Not Dark,Not Dark Pattern
HURRY! ENDS IN: 11 HRS 20 MIN 13 SEC,Dark,Urgency
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated ",Dark,Social Proof
YOUR CART IS ELIGIBLE FOR AN ADDITIONAL 10% OFF Including Current Promotions + Sale & Clearance 00 hours :29 minutes :26 seconds CHECK OUT NOW,Dark,Urgency
 MIN Twins ,Not Dark,Not Dark Pattern
Wedding Cross Stich & Embroidery Patterns,Not Dark,Not Dark Pattern
Choose Type of Cookies You Accept Using,Not Dark,Not Dark Pattern
 â˜… â˜… â˜… â˜… â˜… ,Not Dark,Not Dark Pattern
10 SEATS LEFT,Dark,Scarcity
(Only 5 Left),Dark,Scarcity
 Mixed Wine Cases ,Not Dark,Not Dark Pattern
Let's make sure you have everything else you need,Dark,Misdirection
80% offers claimed. Hurry up!,Dark,Scarcity
WhiteBoho Rose Comforter and Sham Set,Not Dark,Not Dark Pattern
Your order is reserved for 09:57 minutes!,Dark,Urgency
 â‚ª ILS ,Not Dark,Not Dark Pattern
 Cooling & Air Treatment ,Not Dark,Not Dark Pattern
"Motherâ€™s Day is undoubtedly a significant occasion for all mothers. But, for the new moms, it is even more special. If you........... Read More...",Not Dark,Not Dark Pattern
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,Dark,Urgency
HURRY! ENDS IN: 10 HRS 40 MIN 00 SEC,Dark,Urgency
Mary Janes,Not Dark,Not Dark Pattern
Select Your Year,Not Dark,Not Dark Pattern
What treats can I use?,Not Dark,Not Dark Pattern
We curate the very best in creative and innovative fashion for the EDM Lifestyle. ,Not Dark,Not Dark Pattern
Only 20 left,Dark,Scarcity
 Terms of Service ,Not Dark,Not Dark Pattern
Upright Plants,Not Dark,Not Dark Pattern
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,Dark,Urgency
"""Your purchase entitles you to the following special""",Dark,Misdirection
 Brass Shankh ,Not Dark,Not Dark Pattern
2 people are looking right now,Dark,Social Proof
Boys Shorts,Not Dark,Not Dark Pattern
IN HIGH DEMAND!,Dark,Scarcity
Low Stock Only 2 left,Dark,Scarcity
Anaheim DucksArizona CoyotesCalgary FlamesChicago BlackhawksColorado AvalancheDallas StarsEdmonton OilersLos Angeles KingsMinnesota Wild,Not Dark,Not Dark Pattern
Blankets Throws,Not Dark,Not Dark Pattern
Shop Disposables,Not Dark,Not Dark Pattern
 Free Delivery to HomeÂ & Next day delivery available to store* ,Not Dark,Not Dark Pattern
Limited-time Deal,Dark,Scarcity
Limited time - Free Shipping on all orders*,Dark,Urgency
Surgical & Face Masks,Not Dark,Not Dark Pattern
Hurry! Only 4 left in stock.,Dark,Scarcity
"No thanks, I despise coupons!",Dark,Misdirection
Shop Men's Styles,Not Dark,Not Dark Pattern
"If you are one of those constantly devoted to healthy eating, weight loss plans,..",Not Dark,Not Dark Pattern
"JULIE in Oak Brook, United States purchased a Watercolor Brush Pens 24 Refillable Colors with Travel Case about 10 hours ago",Dark,Social Proof
"For a limited time, buy 2 Hydroxycut Hardcore Elite, 30 Servings for $30!",Dark,Urgency
(5 Left),Dark,Scarcity
 Choosing the Best Plus Size Briefs ,Not Dark,Not Dark Pattern
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,Dark,Urgency
 Cable Winders ,Not Dark,Not Dark Pattern
TSX Remotes,Not Dark,Not Dark Pattern
Only 3 Left In Stock,Dark,Scarcity
Baby Bathtubs,Not Dark,Not Dark Pattern
Only 14 left,Dark,Scarcity
33 people are eyeing this item!,Dark,Social Proof
"Nice choice. Did you know youâ€™re missing out on these deals with the item in your cart. Suit + Shirt + Tie now $599.99* - Shop Suits, Shirts and Ties Or Get 2 Suit Packages for $1100*",Dark,Misdirection
"No thanks, I don't like saving money",Dark,Misdirection
Only 1 Left in Stock. Buy Soon!,Dark,Scarcity
19 people have viewed this item,Dark,Social Proof
Crossman Air Pistols,Not Dark,Not Dark Pattern
"No Thanks, I'd Rather Pay Full Price",Dark,Misdirection
Harry Potter ,Not Dark,Not Dark Pattern
FilterSortFeaturedPrice: Low to HighPrice: High to LowAlphabetical: A-ZAlphabetical: Z-A,Not Dark,Not Dark Pattern
We only have 8.0000 left in Stock,Dark,Scarcity
"Hurry, Sale ends in 9 Hours!",Dark,Urgency
Jewelry Care Kit,Not Dark,Not Dark Pattern
Give a Gift,Not Dark,Not Dark Pattern
 First name * ,Not Dark,Not Dark Pattern
166 people have added this item to cart,Dark,Social Proof
LIMITED TIME LEFT! 00 : 46 : 11,Dark,Urgency
Speak with our customer-care executive who will help you with your buying.,Not Dark,Not Dark Pattern
Mechanic's Wear,Not Dark,Not Dark Pattern
Please note: we do not ship to PO Boxes,Not Dark,Not Dark Pattern
"Michael M. from Lacey, WA just bought a Cal King",Dark,Social Proof
"Products are automatically delivered on your schedule. No obligation, modify or cancel your subscription anytime. ",Not Dark,Not Dark Pattern
There are only 1 item left in stock.,Dark,Scarcity
Free Shipping*,Not Dark,Not Dark Pattern
"Crystals are alive. Born inside Mother Earth, crystal energy can be felt just like heat or cold. For chakra training to astrological remedies, discover healing crystals.",Not Dark,Not Dark Pattern
A-Z Luxury Brands,Not Dark,Not Dark Pattern
ALMOST GONE - only 2 remaining!,Dark,Scarcity
Offer ends in 03 days 19 hours : 54 mins : 22 secs,Dark,Urgency
Over 200 views in 24 hrs,Dark,Social Proof
"Hurry, only 302 left.",Dark,Scarcity
Shotgun Bore Mops,Not Dark,Not Dark Pattern
POPULAR 64 others checked this out in the last few hours.,Dark,Social Proof
ONLY 5 LEFT IN STOCK,Dark,Scarcity
"No thanks, I hate saving money",Dark,Misdirection
Moroccan Rugs,Not Dark,Not Dark Pattern
ONLY AVAILABLE FOR A LIMITED TIME,Dark,Urgency
 Sprouting ,Not Dark,Not Dark Pattern
Help us #savethefishies.,Not Dark,Not Dark Pattern
5 items left,Dark,Scarcity
This product was viewed 26 seconds ago by someone from Princeton,Dark,Social Proof
ONLY 1 ITEM LEFT!,Dark,Scarcity
ONLY 11 LEFT,Dark,Scarcity
Only a few left of this product!,Dark,Scarcity
JFN Scallop V Neck Solid Casual T-Shirt/Tee,Not Dark,Not Dark Pattern
Purchased 6 times this week.,Dark,Social Proof
Crochet Baby Patterns,Not Dark,Not Dark Pattern
Felizer Designer Diamond studded Round Dial Metal starp watch for Women & Girls - Silver (Heart design) Analog,Not Dark,Not Dark Pattern
 Home / Black Tapered Belted Cigarette Trousers - Myasia ,Not Dark,Not Dark Pattern
Only 4 left at this price,Dark,Scarcity
"Once a celebrated author of short stories now in his twilight years, ",Not Dark,Not Dark Pattern
Recent Searches,Not Dark,Not Dark Pattern
 Brand case & cloth included ,Not Dark,Not Dark Pattern
Hair Color + Highlights,Not Dark,Not Dark Pattern
"We combined powerful, yet gentle acne-fighting ingredients with our own unique plant-based complexes to help reduce irritation and redness associated with acne and breakouts. The result? Skin thatâ€™s nourished, smooth, and most importantly, clear!",Not Dark,Not Dark Pattern
"Only 2 left, order soon",Dark,Scarcity
 Food ,Not Dark,Not Dark Pattern
MORE WAYS TO SHOP,Not Dark,Not Dark Pattern
Your shopping cart is empty.,Not Dark,Not Dark Pattern
Coin Necklace ,Not Dark,Not Dark Pattern
Mallet E Speed Lace - Black/Silver,Not Dark,Not Dark Pattern
"Someone from Huntingtown, Maryland, United States purchased TopCoatÂ® F11Â® Polish & Sealer - Web Special Kits Just Now",Dark,Social Proof
You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,Dark,Obstruction
Items in your cart are in VERY high-demand.,Dark,Scarcity
Sign up to our mailing list here and be the first to know about exclusive offers and events,Not Dark,Not Dark Pattern
Items in your cart are selling fast,Dark,Scarcity
"No thanks, I don't like winning.",Dark,Misdirection
Laundry Care,Not Dark,Not Dark Pattern
Low in stock: only 2 left.,Dark,Scarcity
Deal Ends In 2 : DAYS13 : HRS10 : MIN24 SEC,Dark,Urgency
"Order soon, only 1 left!",Dark,Scarcity
This campaign was taken down for content reasons,Not Dark,Not Dark Pattern
"Hurry, only 2 left in stock!",Dark,Scarcity
AdjustableSnapbacksSale Items- View All -,Not Dark,Not Dark Pattern
ONLY 5 LEFT IN STOCK!,Dark,Scarcity
Over 238 people have bought this product,Dark,Social Proof
Order in 13:16 to get $200 off your mattress,Dark,Urgency
 Bob Ross Oil Brushes ,Not Dark,Not Dark Pattern
"No Thanks, I'd rather pay full price",Dark,Misdirection
Terra - Medium Brown,Not Dark,Not Dark Pattern
Warning: Last items in stock!,Dark,Scarcity
Work With More Buyers And Sellers?,Not Dark,Not Dark Pattern
 Lighting,Not Dark,Not Dark Pattern
 Round Neck Casual Loose Patchwork Printed Short Sleeve Blouse ,Not Dark,Not Dark Pattern
39 recently purchased it,Dark,Social Proof
Limited Time Offer: 10% Off your first order!,Dark,Urgency
Computer Accessories,Not Dark,Not Dark Pattern
AromatherapyÂ ,Not Dark,Not Dark Pattern
A Ritual of Light,Not Dark,Not Dark Pattern
Hurry only 2 left,Dark,Scarcity
21 people looked at this during the last 24 hours,Dark,Social Proof
Black Jeans,Not Dark,Not Dark Pattern
Build your own powerful multi-vendor marketplace website,Not Dark,Not Dark Pattern
"Items in your cart are in high demand, but we have reserved your order.",Dark,Scarcity
167 piece(s) left for this promo,Dark,Scarcity
"No Thanks, I don't like free stuff.",Dark,Misdirection
Only 32 left in stock,Dark,Scarcity
Less than 10 left!,Dark,Scarcity
CUSTOMER SERVICE,Not Dark,Not Dark Pattern
Hurry! Sale ends in:,Dark,Urgency
NRA Firearms For Freedom,Not Dark,Not Dark Pattern
Low in stock,Dark,Scarcity
Availability: Only 1 Left,Dark,Scarcity
 Printed Long Sleeves Casual Blouse For Women ,Not Dark,Not Dark Pattern
Straight Hair Extensions,Not Dark,Not Dark Pattern
Radio and GPS Pouches,Not Dark,Not Dark Pattern
Only 3 left!,Dark,Scarcity
Only 4 unit(s) available!,Dark,Scarcity
Anniversary Gifts by Year,Not Dark,Not Dark Pattern
All Scrapbooking Supplies,Not Dark,Not Dark Pattern
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",Dark,Misdirection
 New In,Not Dark,Not Dark Pattern
146 people recently purchased this.,Dark,Social Proof
Only 25 Deals left,Dark,Scarcity
HOW TO MANAGE SIDE EFFECTS,Not Dark,Not Dark Pattern
Website Accessibility,Not Dark,Not Dark Pattern
 Item added to cart. View cart and check out. Close ,Not Dark,Not Dark Pattern
Heat Mats & Strips,Not Dark,Not Dark Pattern
HURRY! YOUR 10% OFF EXPIRES IN 29:43,Dark,Urgency
3 people bought this item last week.,Dark,Social Proof
 Share on Pinterest ,Not Dark,Not Dark Pattern
Only 8 left in stock,Dark,Scarcity
Hurry! This special sale ends in 2h 42m 0s,Dark,Urgency
Hype. Home,Not Dark,Not Dark Pattern
VIP OFFERS END 00:54:59,Dark,Urgency
"Roommates agreement... need i say more? this is a great poster for the walls of any house that has more than one person living in it. if you're alone, get it all the same - it'll make you laugh at any given time :)",Not Dark,Not Dark Pattern
This is how you can reject or delete your cookies,Not Dark,Not Dark Pattern
Ericdress Round Neck Three-Quarter Sleeve Mid-Calf Pullover Fall Women's Dress,Not Dark,Not Dark Pattern
 Email Address ,Not Dark,Not Dark Pattern
Your cart is reserved for 14:57 minutes!,Dark,Urgency
"No thanks, I don't want any deals",Dark,Misdirection
Toddler Boy Underwear and Undershirts,Not Dark,Not Dark Pattern
Collegiate Shooting Programs,Not Dark,Not Dark Pattern
ONLY 1 ITEM LEFT,Dark,Scarcity
01 Hours 37 Minutes 48 Seconds 1/10s,Dark,Urgency
 Supporting All Artists Create because you can ,Not Dark,Not Dark Pattern
HomeFlowersColourful Mixed Roses Bouquet,Not Dark,Not Dark Pattern
Send as giftexpand_more,Not Dark,Not Dark Pattern
Delivery & Returns,Not Dark,Not Dark Pattern
Only: 9 in stock now,Dark,Scarcity
"Only 3 left , In Stock",Dark,Scarcity
Livefood Subscription,Not Dark,Not Dark Pattern
Grocery & Liquor,Not Dark,Not Dark Pattern
 For Wife ,Not Dark,Not Dark Pattern
"UP TO 60% OFF SPRING SALE PLUS 10% OFF ALL SHOWERS ENTER CODE SHOWERS10 AT CHECKOUT, MUST END TUESDAY 02DAYS  :  04HOURS  :  13MINS  :  28SECS",Dark,Urgency
Great for keeping track of your pup while at work,Not Dark,Not Dark Pattern
 Subscribe ,Not Dark,Not Dark Pattern
Powered by,Not Dark,Not Dark Pattern
JerseysPantsSleepwear & UnderwearSwim CollectionT-ShirtsSale Items- View All -,Not Dark,Not Dark Pattern
"Hurry, Only a few left!",Dark,Scarcity
 I love this phone case! ðŸ˜ #phonecase #hiraeth #appleiphone #apple #rosegold #loveit ,Not Dark,Not Dark Pattern
ONLY 1 LEFT IN THIS SIZE,Dark,Scarcity
Looking for your order history?,Not Dark,Not Dark Pattern
Only 82 left in stock!,Dark,Scarcity
Readers looking for some old-fashioned storytelling with a sprinkling of magic will find it here. ,Not Dark,Not Dark Pattern
Traditional Snacks,Not Dark,Not Dark Pattern
 Travel Accessories ,Not Dark,Not Dark Pattern
eWriters & Graphics Tablets,Not Dark,Not Dark Pattern
 EU Delivery & Returns ,Not Dark,Not Dark Pattern
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,Dark,Urgency
Your order will be reserved for 6:56 minutes.,Dark,Urgency
LESS THAN 8 LEFT IN STOCK!,Dark,Scarcity
 United States ,Not Dark,Not Dark Pattern
Limited Time Sale - Buy Now!,Dark,Urgency
 Mobile Terms of Use ,Not Dark,Not Dark Pattern
 ALL SALE ,Not Dark,Not Dark Pattern
MyStore,Not Dark,Not Dark Pattern
JUST 1 LEFT!,Dark,Scarcity
"Don't snooze, only 1 left",Dark,Scarcity
I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,Dark,Forced Action
"Don't miss out, only 2 left in stock",Dark,Scarcity
"Someone from Rochedale, Queensland, Australia started buying this!",Dark,Social Proof
 Please click ,Not Dark,Not Dark Pattern
 Box Springs & Foundations,Not Dark,Not Dark Pattern
Countdown,Not Dark,Not Dark Pattern
Men's Pullover Sweaters,Not Dark,Not Dark Pattern
 Tony Bianco ,Not Dark,Not Dark Pattern
 LOGO BLACK ,Not Dark,Not Dark Pattern
Everything was perfect. The delivery was very smooth and the products were in great condition as well.,Not Dark,Not Dark Pattern
 Face Masks,Not Dark,Not Dark Pattern
LIMITED TIME OFFER!,Dark,Urgency
Low In Stock Today,Dark,Scarcity
Lenscap: Damage Only,Dark,Misdirection
With 1-year Care Subscription 10 days history,Dark,Misdirection
About Ruth Hogan,Not Dark,Not Dark Pattern
Don't miss out on this item! There is only 1 left in stock.,Dark,Scarcity
"NO, THANKS. I DON'T LIKE DISCOUNTS ",Dark,Misdirection
"No thanks, I'd rather pay full price.",Dark,Misdirection
Wait! Take 10% off Your First Order Deal Expires Soon!,Dark,Urgency
Diamond Nose Studs,Not Dark,Not Dark Pattern
Perhaps you could...,Not Dark,Not Dark Pattern
"CANCELLATION POLICY: If you are not completely satisfied with Yogi Surprise, you can cancel your membership and discontinue your monthly payments at any time. In order to cancel before you are renewed for the next shipment, you need to contact Yogi Surprise prior to the renewal date on the 14th of each month. Email: support@yogisurprise.com and weâ€™ll respond promptly. If your membership has already renewed and youâ€™d like to cancel an upcoming shipment, you must request cancellation by the 3rd of the month to be eligible for a refund. IF YOU DO NOT CANCEL PRIOR TO THE THIRD DAY OF A CALENDAR MONTH, YOU CANNOT BE REFUNDED FOR THAT MONTHâ€™S SHIPMENT. WE DO NOT OFFER REFUNDS ON BOXES THAT HAVE ALREADY BEEN SHIPPED. To request cancellation, simply click here and submit the contact form or email us: support@yogisurprise.com. Weâ€™ll get back to promptly!",Dark,Obstruction
Limited Time Only! 20% Off,Dark,Urgency
"Hurry, only 2 left in stock",Dark,Scarcity
 Casual V-Neck Sleeveless T-Shirt ,Not Dark,Not Dark Pattern
 Businesses in the EU buying from a business in the same country are also charged VAT.,Not Dark,Not Dark Pattern
"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",Dark,Social Proof
Hurry only 8 items left!,Dark,Scarcity
 Shop ,Not Dark,Not Dark Pattern
Someone in United States just purchased a,Dark,Social Proof
LIMITED TIME: $10 OFF! DISCOUNT REFLECTED IN PRICE!,Dark,Urgency
 Rechargeable ,Not Dark,Not Dark Pattern
 Redeem Gift Certificates ,Not Dark,Not Dark Pattern
Hurry! 1 items left!,Dark,Scarcity
Muc-Off,Not Dark,Not Dark Pattern
Frequently Asked Questions,Not Dark,Not Dark Pattern
We value your input. Share your review so everyone else can enjoy it too.,Not Dark,Not Dark Pattern
"Someone in Byron Bay, NSW just bought",Dark,Social Proof
Last 1 left,Dark,Scarcity
Limited quantity available,Dark,Scarcity
